,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
Action,34,17,2,2,6,4,13,2,8,0,0,0,0,0,2,1,14,2,14,1,1
Adventure,17,42,16,0,15,0,12,15,22,0,0,0,1,1,2,1,16,0,5,1,1
Animation,2,16,20,0,10,0,6,14,13,0,0,0,1,1,2,1,4,0,0,1,0
Biography,2,0,0,10,3,3,10,0,0,0,2,0,2,0,0,0,0,2,0,2,1
Comedy,6,15,10,3,48,8,25,12,9,0,0,0,2,1,1,10,5,0,3,3,1
Crime,4,0,0,3,8,50,42,0,1,1,1,1,0,0,11,0,1,0,23,0,1
Drama,13,12,6,10,25,42,116,8,9,1,4,2,3,1,14,20,12,2,29,11,3
Family,2,15,14,0,12,0,8,21,11,0,0,0,1,1,2,2,2,0,0,0,0
Fantasy,8,22,13,0,9,1,9,11,28,0,0,0,1,0,3,3,7,0,0,0,0
Film-Noir,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
History,0,0,0,2,0,1,4,0,0,0,4,0,0,0,0,1,0,0,0,2,0
Horror,0,0,0,0,0,1,2,0,0,0,0,5,0,0,3,0,2,0,2,0,0
Music,0,1,1,2,2,0,3,1,1,0,0,0,4,0,1,0,0,0,0,1,0
Musical,0,1,1,0,1,0,1,1,0,0,0,0,0,2,0,1,0,0,0,0,0
Mystery,2,2,2,0,1,11,14,2,3,1,0,3,1,0,21,4,2,0,15,0,0
Romance,1,1,1,0,10,0,20,2,3,0,1,0,0,1,4,28,1,0,4,4,0
Sci-Fi,14,16,4,0,5,1,12,2,7,0,0,2,0,0,2,1,32,0,9,0,0
Sport,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Thriller,14,5,0,0,3,23,29,0,0,1,0,2,0,0,15,4,9,0,44,0,0
War,1,1,1,2,3,0,11,0,0,0,2,0,1,0,0,4,0,0,0,11,1
Western,1,1,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,3   
